Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.39     0.00       40     0.00     0.00  Eigen::internal::aligned_free(void*)
  0.00      0.39     0.00       40     0.00     0.00  Eigen::internal::scalar_random_op<double>::scalar_random_op(Eigen::internal::scalar_random_op<double> const&)
  0.00      0.39     0.00       40     0.00     0.00  Eigen::internal::variable_if_dynamic<long, -1>::variable_if_dynamic(long)
  0.00      0.39     0.00       40     0.00     0.00  void Eigen::internal::conditional_aligned_free<true>(void*)
  0.00      0.39     0.00       40     0.00     0.00  void Eigen::internal::conditional_aligned_delete_auto<double, true>(double*, unsigned long)
  0.00      0.39     0.00       40     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::derived()
  0.00      0.39     0.00       40     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::rows() const
  0.00      0.39     0.00       35     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00      0.39     0.00       33     0.00     0.00  bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.39     0.00       31     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00      0.39     0.00       30     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const
  0.00      0.39     0.00       23     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      0.39     0.00       20     0.00     0.00  Eigen::MatrixBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > >::MatrixBase()
  0.00      0.39     0.00       20     0.00     0.00  Eigen::MatrixBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::MatrixBase()
  0.00      0.39     0.00       20     0.00     0.00  Eigen::DenseStorage<double, -1, -1, -1, 0>::resize(long, long, long)
  0.00      0.39     0.00       20     0.00     0.00  Eigen::DenseStorage<double, -1, -1, -1, 0>::DenseStorage()
  0.00      0.39     0.00       20     0.00     0.00  Eigen::DenseStorage<double, -1, -1, -1, 0>::~DenseStorage()
  0.00      0.39     0.00       20     0.00     0.00  Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> >::CwiseNullaryOp(long, long, Eigen::internal::scalar_random_op<double> const&)
  0.00      0.39     0.00       20     0.00     0.00  void Eigen::PlainObjectBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::resizeLike<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > >(Eigen::EigenBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > > const&)
  0.00      0.39     0.00       20     0.00    19.52  Eigen::Matrix<double, -1, -1, 0, -1, -1>& Eigen::PlainObjectBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::_set_noalias<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > >(Eigen::DenseBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > > const&)
  0.00      0.39     0.00       20     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::_check_template_params()
  0.00      0.39     0.00       20     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::resize(long, long)
  0.00      0.39     0.00       20     0.00    19.52  Eigen::PlainObjectBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::PlainObjectBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > >(Eigen::DenseBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > > const&)
  0.00      0.39     0.00       20     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::~PlainObjectBase()
  0.00      0.39     0.00       20     0.00    19.52  Eigen::Matrix<double, -1, -1, 0, -1, -1>::Matrix<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > >(Eigen::EigenBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > > const&)
  0.00      0.39     0.00       20     0.00     0.00  Eigen::Matrix<double, -1, -1, 0, -1, -1>::~Matrix()
  0.00      0.39     0.00       20     0.00    19.52  Eigen::internal::Assignment<Eigen::Matrix<double, -1, -1, 0, -1, -1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> >, Eigen::internal::assign_op<double, double>, Eigen::internal::Dense2Dense, void>::run(Eigen::Matrix<double, -1, -1, 0, -1, -1>&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > const&, Eigen::internal::assign_op<double, double> const&)
  0.00      0.39     0.00       20     0.00     0.00  Eigen::internal::aligned_malloc(unsigned long)
  0.00      0.39     0.00       20     0.00     0.00  Eigen::internal::evaluator_base<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > >::evaluator_base()
  0.00      0.39     0.00       20     0.00     0.00  Eigen::internal::evaluator_base<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > >::~evaluator_base()
  0.00      0.39     0.00       20     0.00     0.00  Eigen::internal::evaluator_base<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::evaluator_base()
  0.00      0.39     0.00       20     0.00     0.00  Eigen::internal::evaluator_base<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::~evaluator_base()
  0.00      0.39     0.00       20     0.00     0.00  Eigen::internal::scalar_random_op<double>::scalar_random_op()
  0.00      0.39     0.00       20     0.00     0.00  void Eigen::internal::resize_if_allowed<Eigen::Matrix<double, -1, -1, 0, -1, -1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> >, double, double>(Eigen::Matrix<double, -1, -1, 0, -1, -1>&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > const&, Eigen::internal::assign_op<double, double> const&)
  0.00      0.39     0.00       20     0.00     0.00  void Eigen::internal::check_for_aliasing<Eigen::Matrix<double, -1, -1, 0, -1, -1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > >(Eigen::Matrix<double, -1, -1, 0, -1, -1> const&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > const&)
  0.00      0.39     0.00       20     0.00    19.52  void Eigen::internal::call_assignment_no_alias<Eigen::Matrix<double, -1, -1, 0, -1, -1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> >, Eigen::internal::assign_op<double, double> >(Eigen::Matrix<double, -1, -1, 0, -1, -1>&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > const&, Eigen::internal::assign_op<double, double> const&)
  0.00      0.39     0.00       20     0.00    19.52  void Eigen::internal::call_dense_assignment_loop<Eigen::Matrix<double, -1, -1, 0, -1, -1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> >, Eigen::internal::assign_op<double, double> >(Eigen::Matrix<double, -1, -1, 0, -1, -1>&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > const&, Eigen::internal::assign_op<double, double> const&)
  0.00      0.39     0.00       20     0.00     0.00  void* Eigen::internal::conditional_aligned_malloc<true>(unsigned long)
  0.00      0.39     0.00       20     0.00     0.00  Eigen::internal::checkTransposeAliasing_impl<Eigen::Matrix<double, -1, -1, 0, -1, -1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> >, false>::run(Eigen::Matrix<double, -1, -1, 0, -1, -1> const&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > const&)
  0.00      0.39     0.00       20     0.00     0.00  Eigen::internal::check_that_malloc_is_allowed()
  0.00      0.39     0.00       20     0.00     0.00  double* Eigen::internal::conditional_aligned_new_auto<double, true>(unsigned long)
  0.00      0.39     0.00       20     0.00     0.00  Eigen::internal::plainobjectbase_evaluator_data<double, -1>::plainobjectbase_evaluator_data(double const*, long)
  0.00      0.39     0.00       20     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<double, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > >, Eigen::internal::assign_op<double, double>, 0>::generic_dense_assignment_kernel(Eigen::internal::evaluator<Eigen::Matrix<double, -1, -1, 0, -1, -1> >&, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > > const&, Eigen::internal::assign_op<double, double> const&, Eigen::Matrix<double, -1, -1, 0, -1, -1>&)
  0.00      0.39     0.00       20     0.00     0.00  Eigen::internal::assign_op<double, double>::assign_op()
  0.00      0.39     0.00       20     0.00     0.00  Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > >::evaluator(Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > const&)
  0.00      0.39     0.00       20     0.00     0.00  Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > >::~evaluator()
  0.00      0.39     0.00       20     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> > >::evaluator(Eigen::PlainObjectBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> > const&)
  0.00      0.39     0.00       20     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> > >::~evaluator()
  0.00      0.39     0.00       20     0.00     0.00  Eigen::internal::evaluator<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::evaluator(Eigen::Matrix<double, -1, -1, 0, -1, -1> const&)
  0.00      0.39     0.00       20     0.00     0.00  Eigen::internal::evaluator<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::~evaluator()
  0.00      0.39     0.00       20     0.00     0.00  Eigen::DenseBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > >::DenseBase()
  0.00      0.39     0.00       20     0.00     0.00  Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > const Eigen::DenseBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::NullaryExpr<Eigen::internal::scalar_random_op<double> >(long, long, Eigen::internal::scalar_random_op<double> const&)
  0.00      0.39     0.00       20     0.00     0.00  Eigen::DenseBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::Random(long, long)
  0.00      0.39     0.00       20     0.00     0.00  Eigen::DenseBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::DenseBase()
  0.00      0.39     0.00       20     0.00     0.00  Eigen::DenseStorage<double, -1, -1, -1, 0>::data() const
  0.00      0.39     0.00       20     0.00     0.00  Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> >::functor() const
  0.00      0.39     0.00       20     0.00     0.00  Eigen::DenseCoeffsBase<Eigen::Matrix<double, -1, -1, 0, -1, -1>, 3>::outerStride() const
  0.00      0.39     0.00       20     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::data() const
  0.00      0.39     0.00       20     0.00     0.00  Eigen::Matrix<double, -1, -1, 0, -1, -1>::outerStride() const
  0.00      0.39     0.00       20     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<double, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_random_op<double>, Eigen::Matrix<double, -1, -1, 0, -1, -1> > >, Eigen::internal::assign_op<double, double>, 0>::size() const
  0.00      0.39     0.00       20     0.00     0.00  Eigen::DenseBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::innerSize() const
  0.00      0.39     0.00       20     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::const_cast_derived() const
  0.00      0.39     0.00       20     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::cols() const
  0.00      0.39     0.00       20     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::size() const
  0.00      0.39     0.00       20     0.00     0.00  std::chrono::time_point<std::chrono::_V2::steady_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const
  0.00      0.39     0.00       20     0.00     0.00  std::chrono::duration<double, std::ratio<1l, 1l> >::count() const
  0.00      0.39     0.00       18     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      0.39     0.00       17     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00      0.39     0.00       13     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      0.39     0.00       11     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00      0.39     0.00       11     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.00      0.39     0.00       11     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.39     0.00       10     0.00    39.03  multiply(int)
  0.00      0.39     0.00       10     0.00     0.00  Eigen::MatrixBase<Eigen::Product<Eigen::Matrix<double, -1, -1, 0, -1, -1>, Eigen::Matrix<double, -1, -1, 0, -1, -1>, 0> >::MatrixBase()
  0.00      0.39     0.00       10     0.00     0.00  Eigen::ProductImpl<Eigen::Matrix<double, -1, -1, 0, -1, -1>, Eigen::Matrix<double, -1, -1, 0, -1, -1>, 0, Eigen::Dense>::ProductImpl()
  0.00      0.39     0.00       10     0.00     0.00  Eigen::Product<Eigen::Matrix<double, -1, -1, 0, -1, -1>, Eigen::Matrix<double, -1, -1, 0, -1, -1>, 0>::Product(Eigen::Matrix<double, -1, -1, 0, -1, -1> const&, Eigen::Matrix<double, -1, -1, 0, -1, -1> const&)
  0.00      0.39     0.00       10     0.00     0.00  Eigen::internal::dense_product_base<Eigen::Matrix<double, -1, -1, 0, -1, -1>, Eigen::Matrix<double, -1, -1, 0, -1, -1>, 0, 8>::dense_product_base()
  0.00      0.39     0.00       10     0.00     0.00  Eigen::DenseBase<Eigen::Product<Eigen::Matrix<double, -1, -1, 0, -1, -1>, Eigen::Matrix<double, -1, -1, 0, -1, -1>, 0> >::DenseBase()
  0.00      0.39     0.00       10     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double>(double*, double&&)
  0.00      0.39     0.00       10     0.00     0.00  Eigen::Product<Eigen::Matrix<double, -1, -1, 0, -1, -1>, Eigen::Matrix<double, -1, -1, 0, -1, -1>, 0> const Eigen::MatrixBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::operator*<Eigen::Matrix<double, -1, -1, 0, -1, -1> >(Eigen::MatrixBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> > const&) const
  0.00      0.39     0.00       10     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00      0.39     0.00       10     0.00     0.00  std::minus<double>::operator()(double const&, double const&) const
  0.00      0.39     0.00       10     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.00      0.39     0.00       10     0.00     0.00  std::binder2nd<std::minus<double> >::operator()(double&) const
  0.00      0.39     0.00       10     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double>(std::allocator<double>&, double*, double&&)
  0.00      0.39     0.00       10     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<double, std::ratio<1l, 1l> > >::value, std::chrono::duration<double, std::ratio<1l, 1l> > >::type std::chrono::duration_cast<std::chrono::duration<double, std::ratio<1l, 1l> >, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.39     0.00       10     0.00     0.00  std::chrono::duration<double, std::ratio<1l, 1l> > std::chrono::__duration_cast_impl<std::chrono::duration<double, std::ratio<1l, 1l> >, std::ratio<1l, 1000000000l>, double, true, false>::__cast<long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.39     0.00       10     0.00     0.00  std::chrono::duration<double, std::ratio<1l, 1l> >::duration<long, std::ratio<1l, 1000000000l>, void>(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.39     0.00       10     0.00     0.00  std::chrono::duration<double, std::ratio<1l, 1l> >::duration<double, void>(double const&)
  0.00      0.39     0.00       10     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::duration<long, void>(long const&)
  0.00      0.39     0.00       10     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<std::chrono::_V2::steady_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::time_point<std::chrono::_V2::steady_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, std::chrono::time_point<std::chrono::_V2::steady_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&)
  0.00      0.39     0.00       10     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<long, std::ratio<1l, 1000000000l>, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&, std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.39     0.00       10     0.00     0.00  std::vector<double, std::allocator<double> >::_S_relocate(double*, double*, double*, std::allocator<double>&)
  0.00      0.39     0.00       10     0.00     0.00  void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  0.00      0.39     0.00       10     0.00     0.00  std::vector<double, std::allocator<double> >::_S_do_relocate(double*, double*, double*, std::allocator<double>&, std::integral_constant<bool, true>)
  0.00      0.39     0.00       10     0.00     0.00  std::vector<double, std::allocator<double> >::_S_use_relocate()
  0.00      0.39     0.00       10     0.00     0.00  std::vector<double, std::allocator<double> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      0.39     0.00       10     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  0.00      0.39     0.00       10     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double&&)
  0.00      0.39     0.00       10     0.00     0.00  double* std::__relocate_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  0.00      0.39     0.00       10     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<double, void>::value, double*>::type std::__relocate_a_1<double, double>(double*, double*, double*, std::allocator<double>&)
  0.00      0.39     0.00       10     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  0.00      0.39     0.00       10     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.39     0.00        8     0.00     0.00  std::vector<double, std::allocator<double> >::end()
  0.00      0.39     0.00        7     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00      0.39     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00      0.39     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00      0.39     0.00        6     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      0.39     0.00        6     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.00      0.39     0.00        6     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00      0.39     0.00        5     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::difference_type __gnu_cxx::operator-<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.39     0.00        5     0.00     0.00  std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const
  0.00      0.39     0.00        5     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&)
  0.00      0.39     0.00        5     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.39     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00      0.39     0.00        4     0.00     0.00  std::allocator<double>::~allocator()
  0.00      0.39     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00      0.39     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00      0.39     0.00        2     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      0.39     0.00        2     0.00     0.00  std::allocator<double>::allocator()
  0.00      0.39     0.00        2     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00      0.39     0.00        2     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      0.39     0.00        2     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.39     0.00        2     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      0.39     0.00        2     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00      0.39     0.00        2     0.00     0.00  void std::_Destroy<double*>(double*, double*)
